,Close,High,Low,Open,Date,Volume
359,91.4489,91.45,91.4489,91.45,2022-09-19,116
360,91.2266,91.23,91.215,91.2198,2022-09-20,2316
361,91.315,91.3199,91.1301,91.1301,2022-09-21,7816
362,90.735,90.8,90.6905,90.7696,2022-09-22,8384
363,90.6,90.6599,90.46,90.511,2022-09-23,14798
364,89.96,90.3401,89.95,90.3401,2022-09-26,1669
365,89.71,90.03,89.71,90.03,2022-09-27,2803
366,90.0741,90.0741,89.6569,89.7329,2022-09-28,877
367,89.8128,89.84,89.79,89.79,2022-09-29,1090
368,89.6722,90.0,89.6722,90.0,2022-09-30,2654
369,90.2566,90.4299,90.2536,90.27,2022-10-03,738
370,90.4456,90.58,90.4456,90.58,2022-10-04,157
371,90.0721,90.0721,90.0721,90.0721,2022-10-05,44
372,89.94,89.94,89.94,89.94,2022-10-06,145
373,89.6105,89.6105,89.6105,89.6105,2022-10-07,2
374,89.4784,89.4784,89.4784,89.4784,2022-10-10,11
375,89.4685,89.4685,89.4401,89.441,2022-10-11,861
376,89.5527,89.5527,89.5527,89.5527,2022-10-12,2
377,89.306,89.306,89.306,89.306,2022-10-13,2
378,89.1441,89.1441,89.1441,89.1441,2022-10-14,4
379,89.2129,89.2619,89.2129,89.2619,2022-10-17,169
380,89.3302,89.3302,89.3302,89.3302,2022-10-18,28
381,88.8918,88.8918,88.8918,88.8918,2022-10-19,30
382,88.609,88.609,88.609,88.609,2022-10-20,100
383,88.8895,88.8895,88.8895,88.8895,2022-10-21,131
384,88.8801,88.899,88.8801,88.8801,2022-10-24,115
385,89.2663,89.3195,89.2663,89.2663,2022-10-25,136
386,89.4405,89.485,89.385,89.385,2022-10-26,3815
387,89.753,89.77,89.71,89.71,2022-10-27,2269
388,89.5444,89.5582,89.52,89.54,2022-10-28,1384
389,89.2936,89.44,89.24,89.42,2022-10-31,4217
390,89.3269,89.3269,89.3269,89.3269,2022-11-01,36
391,89.2116,89.4195,89.2116,89.4195,2022-11-02,135
392,89.0034,89.0034,89.0034,89.0034,2022-11-03,262
393,89.1016,89.1016,89.1016,89.1016,2022-11-04,2
394,88.9573,88.9573,88.9573,88.9573,2022-11-07,2
395,89.1798,89.1801,88.88,88.99,2022-11-08,3775
396,89.26,89.35,89.21,89.21,2022-11-09,18223
397,90.4244,90.4419,90.261,90.39,2022-11-10,24776
398,90.375,90.55,90.365,90.55,2022-11-11,715
399,90.2549,90.2812,90.1969,90.1969,2022-11-14,1646
400,90.6169,90.6169,90.55,90.55,2022-11-15,112
401,90.831,90.831,90.7,90.72,2022-11-16,375
402,90.5653,90.595,90.4813,90.4813,2022-11-17,458
403,90.3855,90.3855,90.3855,90.3855,2022-11-18,2
404,90.3449,90.54,90.3449,90.54,2022-11-21,6309
405,90.47,90.47,90.47,90.47,2022-11-22,103
406,90.745,90.745,90.72,90.72,2022-11-23,383
407,90.7793,90.7793,90.695,90.695,2022-11-25,352
408,90.8096,90.8096,90.8096,90.8096,2022-11-28,2440
409,90.6151,90.6151,90.6151,90.6151,2022-11-29,123
410,90.96,90.96,90.48,90.4999,2022-11-30,494
411,91.5161,91.5161,91.325,91.325,2022-12-01,14968
412,91.6001,91.6001,91.6001,91.6001,2022-12-02,2
413,91.1549,91.3,91.1549,91.255,2022-12-05,1397
414,91.31,91.31,91.31,91.31,2022-12-06,103
415,91.6949,91.6949,91.6533,91.6599,2022-12-07,715
416,91.5121,91.5121,91.5121,91.5121,2022-12-08,3
417,91.3139,91.3139,91.3139,91.3139,2022-12-09,52
418,91.2197,91.421,91.2197,91.421,2022-12-12,248
419,91.6349,91.905,91.6349,91.905,2022-12-13,6260
420,91.7421,91.7421,91.56,91.56,2022-12-14,102
421,91.7846,91.7846,91.735,91.735,2022-12-15,1204
422,91.7471,91.7471,91.7471,91.7471,2022-12-16,55
423,91.4354,91.4899,91.4354,91.4899,2022-12-19,491
424,91.1849,91.1849,91.1849,91.1849,2022-12-20,13
425,90.9657,90.9657,90.9657,90.9657,2022-12-21,171
426,90.9452,90.9452,90.9452,90.9452,2022-12-22,2
427,90.8045,90.8045,90.76,90.771,2022-12-23,1308
428,90.5096,90.5096,90.5096,90.5096,2022-12-27,15
429,90.4347,90.4347,90.421,90.421,2022-12-28,168
430,90.5923,90.5923,90.5923,90.5923,2022-12-29,84
431,90.4317,90.4317,90.4317,90.4317,2022-12-30,33
432,90.6188,90.6188,90.57,90.591,2023-01-03,1715
433,90.8792,90.8792,90.8792,90.8792,2023-01-04,103
434,90.7514,90.7514,90.7514,90.7514,2023-01-05,11
435,91.4083,91.4083,90.92,90.92,2023-01-06,11299
436,91.6,91.6,91.429,91.429,2023-01-09,3790
437,91.3861,91.44,91.34,91.34,2023-01-10,6504
438,91.6407,91.6407,91.519,91.53,2023-01-11,4053
439,92.0693,92.0693,92.0693,92.0693,2023-01-12,3
440,91.8352,91.91,91.8299,91.91,2023-01-13,3913
441,91.8116,91.91,91.8116,91.91,2023-01-17,1304
442,92.355,92.41,92.235,92.24,2023-01-18,7402
443,92.2752,92.28,92.25,92.25,2023-01-19,203
444,92.035,92.08,91.97,92.08,2023-01-20,405
445,91.96,91.99,91.925,91.925,2023-01-23,1839
446,92.0657,92.0657,92.03,92.03,2023-01-24,203
447,92.1,92.1,92.04,92.04,2023-01-25,143
448,91.9858,92.1,91.9858,92.1,2023-01-26,353
449,91.9003,91.9003,91.9003,91.9003,2023-01-27,7
450,91.765,91.7799,91.765,91.7799,2023-01-30,150
451,91.9625,91.9625,91.9625,91.9625,2023-01-31,3
452,92.3677,92.3677,92.015,92.015,2023-02-01,2703
453,92.4041,92.4041,92.4041,92.4041,2023-02-02,79
454,91.8618,91.9,91.86,91.9,2023-02-03,400
455,91.404,91.49,91.404,91.49,2023-02-06,103
456,91.363,91.45,91.363,91.45,2023-02-07,555
457,91.4761,91.4761,91.4761,91.4761,2023-02-08,1550
458,91.2751,91.49,91.2751,91.49,2023-02-09,403
459,91.095,91.15,91.095,91.15,2023-02-10,741
460,91.121,91.1459,91.0999,91.1459,2023-02-13,1594
461,90.8773,90.8773,90.8,90.8,2023-02-14,103
462,90.835,90.835,90.835,90.835,2023-02-15,8
463,90.83,90.83,90.83,90.83,2023-02-16,401
464,90.8177,90.8177,90.8177,90.8177,2023-02-17,15
465,90.5,90.5,90.5,90.5,2023-02-21,401
466,90.4315,90.5399,90.43,90.5399,2023-02-22,269
467,90.591,90.591,90.53,90.53,2023-02-23,202
468,90.295,90.3,90.289,90.3,2023-02-24,1348
469,90.4067,90.41,90.4,90.4,2023-02-27,226
470,90.4353,90.4353,90.33,90.33,2023-02-28,203
471,90.21,90.21,90.15,90.15,2023-03-01,272
472,90.085,90.085,90.02,90.02,2023-03-02,202
473,90.3586,90.3586,90.21,90.21,2023-03-03,543
474,90.4,90.4,90.4,90.4,2023-03-06,428
